quarter_date,industry,employee_jobs,exposure,post,log_jobs,event_time
2012-03-01,accommodation_food,1891,33.2,0,7.544861068658458,-17
2012-03-01,administrative_support,2273,16.9,0,7.728855823852543,-17
2012-03-01,agriculture,231,10.7,0,5.442417710521793,-17
2012-03-01,arts_entertainment,687,12.3,0,6.532334292222349,-17
2012-03-01,construction,1242,3.2,0,7.124478262493424,-17
2012-03-01,education,2551,2.7,0,7.844240718141811,-17
2012-03-01,electricity_gas,114,0.3,0,4.736198448394496,-17
2012-03-01,financial_insurance,1084,0.6,0,6.988413181999592,-17
2012-03-01,health_social_work,3728,5.9,0,8.223627175805483,-17
2012-03-01,information_communication,1064,1.4,0,6.96979066990159,-17
2012-03-01,manufacturing,2405,4.6,0,7.785305182539862,-17
2012-03-01,mining,62,0.5,0,4.127134385045092,-17
2012-03-01,other_services,595,10.8,0,6.38856140554563,-17
2012-03-01,professional_scientific,1993,3,0,7.597396320212795,-17
2012-03-01,public_admin,1362,0.4,0,7.2167094867094574,-17
2012-03-01,real_estate,430,3.4,0,6.063785208687608,-17
2012-03-01,transport_storage,1250,2.6,0,7.1308988302963465,-17
2012-03-01,water_waste,181,4.8,0,5.198497031265826,-17
2012-03-01,wholesale_retail,4504,13.4,0,8.412721169819527,-17
2012-06-01,accommodation_food,1886,33.2,0,7.542213463193403,-16
2012-06-01,administrative_support,2303,16.9,0,7.741967899820685,-16
2012-06-01,agriculture,223,10.7,0,5.407171771460119,-16
2012-06-01,arts_entertainment,678,12.3,0,6.519147287940395,-16
2012-06-01,construction,1242,3.2,0,7.124478262493424,-16
2012-06-01,education,2536,2.7,0,7.8383433155571165,-16
2012-06-01,electricity_gas,117,0.3,0,4.762173934797756,-16
2012-06-01,financial_insurance,1063,0.6,0,6.968850378341948,-16
2012-06-01,health_social_work,3677,5.9,0,8.209852481301272,-16
2012-06-01,information_communication,1051,1.4,0,6.957497370876951,-16
2012-06-01,manufacturing,2408,4.6,0,7.786551806428712,-16
2012-06-01,mining,64,0.5,0,4.1588830833596715,-16
2012-06-01,other_services,572,10.8,0,6.349138991379798,-16
