,Industry,"Proportion of employees aged 25+ paid below NLW before April 1, 2016"
1,"AGRICULTURE, FORESTRY AND FISHING ",10.7
2,MINING AND QUARRYING ,0.5
3,MANUFACTURING ,4.6
4,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",0.3
5,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",4.8
6,CONSTRUCTION ,3.2
7,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,13.4
8,TRANSPORTATION AND STORAGE ,2.6
9,ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,33.2
10,INFORMATION AND COMMUNICATION ,1.4
11,FINANCIAL AND INSURANCE ACTIVITIES ,0.6
12,REAL ESTATE ACTIVITIES ,3.4
13,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",3
14,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,16.9
15,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,0.4
16,EDUCATION ,2.7
17,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,5.9
18,"ARTS, ENTERTAINMENT AND RECREATION ",12.3
19,OTHER SERVICE ACTIVITIES ,10.8
